YEAR,MO,DY,T2M,TS,QV2M,PRECTOTCORR,WS10M,WD10M
1990,1,1,8.04,4.5,2.26,0,2.1,120.88
1990,1,2,7.38,3.91,2.26,0,2.15,111.94
1990,1,3,8.26,5.11,2.32,0,2.16,93.88
1990,1,4,8.76,6.15,2.5,0,1.94,119.31
1990,1,5,9.15,6.3,2.99,0,2.27,137
1990,1,6,7.93,5.4,3.54,0.51,1.88,87.88
1990,1,7,8.94,6.75,4.82,0.38,1.84,130.75
1990,1,8,8.95,5.84,3.05,0.18,1.88,135.75
1990,1,9,9.42,5.89,2.38,0,2.5,119.81
1990,1,10,11.21,7.74,2.99,0,2.69,131.75
1990,1,11,12.37,8.87,3.36,0,2.55,136.25
1990,1,12,13.01,9.51,3.36,0,2.69,129.94
1990,1,13,11.73,9.28,3.91,0,2.57,144.06
1990,1,14,10.83,8.29,3.97,0,2.24,136.19
1990,1,15,11.62,7.52,2.38,0,2,128.31
1990,1,16,12.16,8.5,2.62,0,1.94,137.94
1990,1,17,12.81,10.82,4.03,0,2.77,129.38
1990,1,18,14.14,12.15,5.13,0,2.86,163.06
1990,1,19,15.29,12.52,4.7,0,2.88,147.88
1990,1,20,16.13,12.94,4.58,0,2.23,114.75
1990,1,21,14.4,11.8,4.76,0,1.79,169.19
1990,1,22,14.07,11.37,4.7,0,2.06,140.62
1990,1,23,12.99,10.52,4.27,0,2.14,159.44
1990,1,24,13.39,10.56,3.48,0,2.3,135.69
1990,1,25,14.37,11.69,3.42,0,2.09,122.06
1990,1,26,13.52,10.73,3.48,0,1.8,178
1990,1,27,12.95,11.22,4.03,0,2.95,101.06
1990,1,28,11.37,10.02,4.46,0.16,3.01,114.25
1990,1,29,11.67,9.73,3.72,0,2.17,122.62
1990,1,30,12.18,10.48,3.48,0,2.04,165.69
1990,1,31,11.6,9.96,3.66,0,1.9,132.62
1990,2,1,10.1,8.51,3.36,0,2.23,148.56
1990,2,2,9.63,7.3,2.62,0,2.17,137.94
1990,2,3,11.34,8.57,2.69,0,1.73,124.12
1990,2,4,12.33,10.14,3.36,0,2.5,143.12
1990,2,5,12.48,10.8,3.11,0,2.65,135.5
1990,2,6,14.02,13.44,4.88,0,2.7,143.19
1990,2,7,10.62,10,6.23,0,2.09,80.81
1990,2,8,12.15,12.44,6.04,0.57,2.35,108.19
1990,2,9,12.33,12.12,5.43,1.99,1.91,140.81
1990,2,10,12.55,11.63,4.58,0.4,2.37,133.81
1990,2,11,12.46,12.49,5.19,0.16,2.48,190.12
1990,2,12,11.52,11.06,5.43,0.85,1.47,148.25
1990,2,13,7.87,8.37,6.41,18.65,3.1,101.94
1990,2,14,9.34,9.67,6.65,9.89,1.66,178.88
1990,2,15,9.51,8.8,5.55,0.99,1.92,166.31
1990,2,16,10.65,9.06,3.91,0,2.19,135.81
1990,2,17,9.62,8.26,3.97,0,2.77,121.31
1990,2,18,7.57,7.36,5.31,13.9,2.2,162.19
1990,2,19,8.9,9.04,6.04,0.9,2,140.56
1990,2,20,9.56,9.49,5.8,0.18,1.73,152.81
1990,2,21,10.5,9.26,4.27,0,2.52,165
1990,2,22,10.78,9.37,4.03,0,2.27,145.31
1990,2,23,10.61,9.99,4.09,0,2.44,135.06
1990,2,24,10.4,10.76,5.13,0.07,2.95,131.94
1990,2,25,7.27,8.34,5.55,2.67,3.52,91.19
1990,2,26,9.15,9.61,5.55,0.09,2.61,136.5
1990,2,27,7.95,8.2,5.31,5.29,2.73,104.38
1990,2,28,6.32,6.29,6.23,25.81,2.19,99.44
1990,3,1,8.83,7.84,5.55,5.31,1.96,151.81
1990,3,2,9.11,7.98,4.39,0,2.26,129.69
1990,3,3,9.9,8.89,4.46,0,2.21,145.56
1990,3,4,10.8,9.69,4.27,0,2.38,146
1990,3,5,10.38,9.58,4.21,0,2.52,148.38
1990,3,6,11.67,10.51,4.21,0,2.59,150.88
1990,3,7,13.05,11.4,4.03,0,2.49,149.38
1990,3,8,13.46,11.69,4.15,0,2.65,145.75
1990,3,9,13.81,12.37,4.39,0,2.74,130.5
1990,3,10,13.94,13.53,4.52,0,2.7,130.19
1990,3,11,11.62,11.58,5.43,1.94,2.77,81.12
1990,3,12,13.29,13.08,5.31,0.36,2.96,177.69
1990,3,13,14.33,13.25,4.88,0.06,2.67,146.25
1990,3,14,14.59,13.26,4.33,0.24,2.44,138.94
1990,3,15,15.9,14.65,4.7,0,2.55,136.25
1990,3,16,16.44,15.23,5.19,0,2.4,142.5
1990,3,17,17.38,16.67,5.92,0,2.72,122.81
1990,3,18,17.12,16.74,5.86,0.97,2.75,120.62
1990,3,19,16.81,16.37,4.76,0.05,2.53,130.75
1990,3,20,16.13,15.52,5.43,2.28,2.42,90.62
